                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 0.8878,                 1.1818,                 1.4812,                0.91924,                0.37325,                0.46755,                 0.3401,                 1.6704,                 2.2885,                 1.4921,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.94647,                 1.0929,                 1.2685,                0.91924,                0.37325,                0.46755,                 0.3401,                 1.6704,                 2.2885,                 1.4921,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.94422,                  1.909,                 1.3046,                0.91563,                0.37303,                0.45402,                0.31959,                 1.6867,                  2.294,                 1.5058,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.80202,                 1.4181,                 1.2054,                0.91563,                0.37303,                0.45402,                0.31959,                 1.6867,                  2.294,                 1.5058,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.72532,                 1.2464,                 1.1386,                0.91889,                0.37297,                0.45406,                 0.3365,                 1.6927,                 2.3169,                 1.5188,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.44699,                0.92251,                0.95135,                0.91889,                0.37297,                0.45406,                 0.3365,                 1.6927,                 2.3169,                 1.5188,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 0.7923,                0.87638,                 1.0844,                0.91896,                 0.3728,                0.45252,                0.33626,                 1.6875,                 2.3483,                 1.5081,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 0.6526,                0.75492,                 1.0608,                0.91896,                 0.3728,                0.45252,                0.33626,                 1.6875,                 2.3483,                 1.5081,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.67068,                0.89727,                 1.0146,                0.92241,                0.37295,                 0.4522,                 0.3364,                 1.7005,                 2.3752,                  1.513,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.54872,                 1.5462,                 1.0409,                0.92241,                0.37295,                 0.4522,                 0.3364,                 1.7005,                 2.3752,                  1.513,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0408,                 1.3177,                 1.3186,                0.94065,                0.38895,                0.45866,                0.33978,                 1.7061,                 2.3746,                 1.5197,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.89693,                 0.8984,                 1.3234,                0.94065,                0.38895,                0.45866,                0.33978,                 1.7061,                 2.3746,                 1.5197,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.60755,                0.76422,                  1.001,                0.94164,                0.38894,                0.45102,                0.33253,                 1.7266,                 2.4118,                 1.5271,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.71667,                0.96783,                 1.1539,                0.94164,                0.38894,                0.45102,                0.33253,                 1.7266,                 2.4118,                 1.5271,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.82943,                 1.6836,                 1.2522,                0.94205,                0.39089,                0.44892,                0.32382,                 1.7368,                 2.4331,                 1.5171,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.92694,                 1.4621,                  1.263,                0.94205,                0.39089,                0.44892,                0.32382,                 1.7368,                 2.4331,                 1.5171,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                  0.842,                  0.931,                 1.3012,                0.94145,                0.39211,                 0.4508,                0.32481,                 1.7708,                 2.4132,                 1.5551,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.66381,                 1.0796,                 1.2048,                0.94145,                0.39211,                 0.4508,                0.32481,                 1.7708,                 2.4132,                 1.5551,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.78053,                0.85023,                 1.1405,                0.94253,                0.39197,                0.44917,                0.32386,                 1.7559,                  2.403,                 1.5285,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.80555,                0.86779,                 1.2222,                0.94253,                0.39197,                0.44917,                0.32386,                 1.7559,                  2.403,                 1.5285,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 0.6507,                0.71566,                 1.1972,                0.94253,                0.39197,                0.44917,                0.32386,                 1.7559,                  2.403,                 1.5285,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.77229,                 0.8448,                 1.2339,                0.94406,                0.39255,                0.42214,                0.29938,                 1.7604,                 2.4052,                 1.5275,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.69114,                 0.8949,                 1.0439,                0.94406,                0.39255,                0.42214,                0.29938,                 1.7604,                 2.4052,                 1.5275,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.1735,                 1.6434,                 1.5743,                0.94406,                0.39255,                0.42214,                0.29938,                 1.7604,                 2.4052,                 1.5275,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0358,                 1.4319,                 1.3611,                0.94663,                0.38997,                0.42217,                0.29388,                 1.7725,                 2.4456,                 1.5435,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.82804,                 1.3765,                 1.2706,                0.94663,                0.38997,                0.42217,                0.29388,                 1.7725,                 2.4456,                 1.5435,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.75565,                0.73284,                 1.1659,                0.94663,                0.38997,                0.42217,                0.29388,                 1.7725,                 2.4456,                 1.5435,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.95993,                0.80185,                 1.4974,                0.94556,                0.39025,                0.42482,                0.27485,                 1.7815,                  2.428,                 1.5389,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.60336,                0.69331,                 1.0652,                0.94556,                0.39025,                0.42482,                0.27485,                 1.7815,                  2.428,                 1.5389,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.70529,                0.87266,                  1.055,                0.94556,                0.39025,                0.42482,                0.27485,                 1.7815,                  2.428,                 1.5389,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.74945,                0.81277,                 1.1468,                 0.9459,                 0.3908,                0.42484,                0.27396,                 1.8223,                 2.4712,                 1.5899,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.66119,                0.69147,                 1.0836,                 0.9459,                 0.3908,                0.42484,                0.27396,                 1.8223,                 2.4712,                 1.5899,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.58709,                0.83376,                 1.1825,                 0.9459,                 0.3908,                0.42484,                0.27396,                 1.8223,                 2.4712,                 1.5899,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.63806,                0.90273,                 1.0863,                0.94569,                0.39043,                0.42168,                0.30783,                 1.8362,                 2.5085,                 1.6031,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 0.6933,                 1.0365,                 1.0721,                0.94569,                0.39043,                0.42168,                0.30783,                 1.8362,                 2.5085,                 1.6031,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.93383,                 1.7261,                  1.339,                0.94569,                0.39043,                0.42168,                0.30783,                 1.8362,                 2.5085,                 1.6031,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.62149,                0.99332,                 1.1306,                0.94558,                0.39158,                0.42131,                0.29256,                 1.8519,                 2.5106,                 1.6037,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.87993,                0.87133,                 1.3605,                0.94558,                0.39158,                0.42131,                0.29256,                 1.8519,                 2.5106,                 1.6037,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0014,                 1.2962,                 1.3783,                0.94558,                0.39158,                0.42131,                0.29256,                 1.8519,                 2.5106,                 1.6037,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.58412,                0.60422,                 1.0456,                0.94678,                0.39002,                0.42132,                0.29254,                 1.8735,                 2.5603,                 1.6313,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.66897,                0.87889,                 1.0539,                0.94678,                0.39002,                0.42132,                0.29254,                 1.8735,                 2.5603,                 1.6313,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.66013,                0.69264,                 1.1606,                0.94678,                0.39002,                0.42132,                0.29254,                 1.8735,                 2.5603,                 1.6313,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.68909,                0.56757,                 1.1239,                0.94608,                0.39017,                0.42186,                0.29267,                 1.8468,                 2.5261,                 1.5802,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                0.58071,                0.84641,                 1.1017,                0.94608,                0.39017,                0.42186,                0.29267,                 1.8468,                 2.5261,                 1.5802,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.61641,                0.58831,                 1.0749,                0.94608,                0.39017,                0.42186,                0.29267,                 1.8468,                 2.5261,                 1.5802,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                   0.79,                 1.0906,                 1.1386,                0.94528,                0.39112,                0.42141,                0.29324,                 1.8179,                 2.4694,                 1.5312,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.58254,                0.72194,                 1.0989,                0.94528,                0.39112,                0.42141,                0.29324,                 1.8179,                 2.4694,                 1.5312,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.64505,                0.78205,                 1.1053,                0.94528,                0.39112,                0.42141,                0.29324,                 1.8179,                 2.4694,                 1.5312,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.50907,                0.46383,                0.98649,                0.94016,                0.38901,                  0.423,                0.29457,                 1.8257,                 2.4675,                 1.5395,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 0.7511,                0.69535,                 1.1548,                0.94016,                0.38901,                  0.423,                0.29457,                 1.8257,                 2.4675,                 1.5395,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.80097,                0.77852,                 1.1928,                0.94016,                0.38901,                  0.423,                0.29457,                 1.8257,                 2.4675,                 1.5395,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 0.5919,                  0.602,                 1.0295,                 0.9376,                0.38804,                0.42139,                0.29266,                 1.8334,                 2.4982,                 1.5466,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 0.6242,                0.78771,                 1.1482,                 0.9376,                0.38804,                0.42139,                0.29266,                 1.8334,                 2.4982,                 1.5466,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.85927,                0.84032,                 1.1392,                 0.9376,                0.38804,                0.42139,                0.29266,                 1.8334,                 2.4982,                 1.5466,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.65949,                0.78603,                 1.0182,                 0.9376,                0.38804,                0.42139,                0.29266,                 1.8334,                 2.4982,                 1.5466,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.79092,                0.84383,                 1.3864,                0.93848,                 0.3872,                0.42039,                0.29331,                 1.8087,                 2.5182,                 1.5153,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0749,                 1.0387,                 1.5108,                0.93848,                 0.3872,                0.42039,                0.29331,                 1.8087,                 2.5182,                 1.5153,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.58484,                0.64886,                0.97884,                0.93848,                 0.3872,                0.42039,                0.29331,                 1.8087,                 2.5182,                 1.5153,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.52478,                0.51152,                0.92949,                0.93848,                 0.3872,                0.42039,                0.29331,                 1.8087,                 2.5182,                 1.5153,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.67469,                0.71709,                0.95575,                0.94435,                0.38771,                0.42019,                0.29202,                 1.8066,                 2.5719,                 1.5054,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.41003,                0.47537,                0.95577,                0.94435,                0.38771,                0.42019,                0.29202,                 1.8066,                 2.5719,                 1.5054,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 0.5464,                0.53287,                0.88963,                0.94435,                0.38771,                0.42019,                0.29202,                 1.8066,                 2.5719,                 1.5054,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.43522,                0.49765,                 0.9321,                0.94435,                0.38771,                0.42019,                0.29202,                 1.8066,                 2.5719,                 1.5054,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.45244,                0.48302,                 0.9743,                0.94186,                0.38333,                0.41875,                0.29048,                 1.8315,                 2.6249,                 1.5483,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.67351,                0.69514,                 1.0243,                0.94186,                0.38333,                0.41875,                0.29048,                 1.8315,                 2.6249,                 1.5483,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.48272,                0.53525,                0.91029,                0.94186,                0.38333,                0.41875,                0.29048,                 1.8315,                 2.6249,                 1.5483,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.56158,                0.61533,                0.95618,                0.94186,                0.38333,                0.41875,                0.29048,                 1.8315,                 2.6249,                 1.5483,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.46646,                0.49325,                0.97202,                0.94832,                0.38143,                0.41896,                0.28997,                 1.8047,                 2.6663,                 1.5075,             2.3444e-06,             2.3444e-06,             2.3444e-06
